Step,AgentsRemaining,ConflictCount,VolunteerActions,ObstaclesRemaining,AvgDFF,AvgAFF
76,7,0,0,57,0.0000,0.1389
77,7,0,0,57,0.0000,0.1389
78,6,0,0,57,0.0000,0.1398
79,6,0,0,57,0.0000,0.1261
80,6,0,0,57,0.0000,0.1019
81,5,0,0,57,0.0000,0.1200
82,5,0,1,56,0.0000,0.0800
83,5,0,0,56,0.0000,0.0800
84,5,0,0,56,0.0000,0.1811
85,5,0,0,56,0.0000,0.1811
86,4,0,0,56,0.0000,0.2000
87,4,0,0,56,0.0000,0.2000
88,4,0,1,55,0.0000,0.1500
89,4,0,0,55,0.0000,0.1500
90,4,0,0,55,0.0000,0.1500
91,4,0,0,55,0.0000,0.1500
92,4,0,0,55,0.0000,0.1500
93,4,0,0,55,0.0000,0.1500
94,4,0,0,55,0.0000,0.1500
95,4,0,0,55,0.0000,0.1500
96,4,0,0,55,0.0000,0.1000
97,4,0,0,55,0.0000,0.1000
98,3,0,0,55,0.0000,0.1333
99,3,0,0,55,0.0000,0.1333
100,3,0,0,55,0.0000,0.1333
101,3,0,0,55,0.0000,0.1333
102,3,0,0,55,0.0000,0.2000
103,3,0,0,55,0.0000,0.2000
104,3,0,1,54,0.0000,0.1333
105,3,0,0,54,0.0000,0.1333
106,3,0,0,54,0.0000,0.1333
107,3,0,0,54,0.0000,0.1333
108,3,0,0,54,0.0000,0.1333
109,3,0,0,54,0.0000,0.1333
110,3,0,0,54,0.0000,0.1333
111,3,0,0,54,0.0000,0.1333
112,3,0,0,54,0.0000,0.1333
113,3,0,0,54,0.0000,0.1333
114,3,0,0,54,0.0000,0.1333
115,3,0,0,54,0.0000,0.1333
116,3,0,0,54,0.0000,0.1333
117,3,0,0,54,0.0000,0.1333
118,3,0,0,54,0.0000,0.1333
119,3,0,0,54,0.0000,0.1333
120,3,0,0,54,0.0000,0.1333
121,3,0,0,54,0.0000,0.1333
122,3,0,0,54,0.0000,0.1333
123,3,0,0,54,0.0000,0.1333
124,3,0,0,54,0.0000,0.1333
125,3,0,0,54,0.0000,0.1333
126,3,0,0,54,0.0000,0.0667
127,3,0,0,54,0.0000,0.0667
128,3,0,0,54,0.0000,0.0667
129,2,0,0,54,0.0000,0.1000
130,2,0,0,54,0.0000,0.1000
131,2,0,0,54,0.0000,0.1000
132,2,0,0,54,0.0000,0.2000
133,2,0,0,54,0.0000,0.2000
134,2,0,0,54,0.0000,0.2000
135,2,0,0,54,0.0000,0.2000
136,2,0,0,54,0.0000,0.2000
137,2,0,0,54,0.0000,0.2000
138,2,0,0,54,0.0000,0.1000
139,2,0,0,54,0.0000,0.1000
140,2,0,0,54,0.0000,0.1000
141,2,0,0,54,0.0000,0.1000
142,2,0,0,54,0.0000,0.1000
143,2,0,0,54,0.0000,0.1000
144,2,0,0,54,0.0000,0.2000
145,2,0,0,54,0.0000,0.2000
146,2,0,0,54,0.0000,0.2000
147,2,0,1,53,0.0000,0.1000
148,2,0,0,53,0.0000,0.1000
149,2,0,0,53,0.0000,0.1000
150,2,0,0,53,0.0000,0.1000
151,2,0,1,52,0.0000,0.0000
152,2,0,0,52,0.0000,0.0000
153,2,0,0,52,0.0000,0.0000
154,2,0,0,52,0.0000,0.0000
155,2,0,0,52,0.0000,0.0000
156,2,0,0,52,0.0000,0.1000
157,2,0,0,52,0.0000,0.1000
158,2,0,0,52,0.0000,0.1000
159,2,0,0,52,0.0000,0.1000
160,2,0,0,52,0.0000,0.1000
161,2,0,0,52,0.0000,0.1000
162,2,0,0,52,0.0000,0.1000
163,2,0,0,52,0.0000,0.1000
164,2,0,0,52,0.0000,0.1000
165,2,0,0,52,0.0000,0.1000
166,2,0,0,52,0.0000,0.1000
167,2,0,0,52,0.0000,0.1000
168,2,0,0,52,0.0000,0.2000
169,2,0,0,52,0.0000,0.2000
170,2,0,0,52,0.0000,0.2000
171,2,0,0,52,0.0000,0.2000
172,2,0,0,52,0.0000,0.2000
173,2,0,0,52,0.0000,0.2000
174,2,0,0,52,0.0000,0.2000
175,2,0,0,52,0.0000,0.2000
176,2,0,0,52,0.0000,0.2000
177,2,0,0,52,0.0000,0.2000
178,2,0,0,52,0.0000,0.2000
179,2,0,0,52,0.0000,0.2000
180,2,0,0,52,0.0000,0.0000
181,2,0,0,52,0.0000,0.0000
182,1,0,0,52,0.0000,0.0000
183,1,0,0,52,0.0000,0.0000
184,1,0,0,52,0.0000,0.0000
185,1,0,0,52,0.0000,0.0000
186,1,0,0,52,0.0000,0.0000
187,1,0,0,52,0.0000,0.0000
188,1,0,0,52,0.0000,0.0000
189,1,0,0,52,0.0000,0.0000
190,1,0,0,52,0.0000,0.0000
191,0,0,0,52,0.0000,0.0000
