RunID,AgentID,EvacuationStep,EvacuationTime
run001,-1245858,25,7.50
run001,-1246054,25,7.50
run001,-1245536,26,7.80
run001,-1245970,26,7.80
run001,-1245676,27,8.10
run001,-1246110,27,8.10
run001,-1246222,27,8.10
run001,-1246236,27,8.10
run001,-1245508,28,8.40
run001,-1245522,28,8.40
run001,-1245648,28,8.40
run001,-1245998,28,8.40
run001,-1245774,29,8.70
run001,-1245844,29,8.70
run001,-1245620,30,9.00
run001,-1246152,30,9.00
run001,-1245634,31,9.30
run001,-1246040,31,9.30
run001,-1246138,31,9.30
run001,-1246292,31,9.30
run001,-1245984,32,9.60
run001,-1246068,32,9.60
run001,-1245690,35,10.51
run001,-1246320,35,10.51
run001,-1245578,36,10.80
run001,-1245816,38,11.40
run001,-1246278,38,11.40
run001,-1245914,41,12.30
run001,-1245606,42,12.61
run001,-1246438,5,1.50
run001,-1246914,5,1.50
run001,-1246788,7,2.10
run001,-1247096,10,3.00
run001,-1246424,11,3.30
run001,-1246900,11,3.30
run001,-1247012,11,3.30
run001,-1246368,12,3.61
run001,-1246410,12,3.61
run001,-1246536,12,3.61
run001,-1246508,13,3.90
run001,-1246872,13,3.90
run001,-1247138,13,3.90
run001,-1246802,14,4.20
run001,-1247152,14,4.20
run001,-1246564,15,4.50
run001,-1246928,15,4.50
run001,-1247166,16,4.80
run001,-1246522,17,5.10
run001,-1246732,17,5.10
run001,-1246760,17,5.10
run001,-1246452,18,5.40
run001,-1246718,18,5.40
run001,-1246494,19,5.70
run001,-1247054,19,5.70
run001,-1246480,20,6.00
run001,-1246704,20,6.00
run001,-1246886,20,6.00
run001,-1246466,21,6.30
run001,-1246592,21,6.30
run001,-1246816,21,6.30
run001,-1246970,21,6.30
run001,-1247110,21,6.30
run001,-1246396,22,6.61
run001,-1246620,23,6.91
run001,-1246774,23,6.91
run001,-1246858,23,6.91
run001,-1247068,23,6.91
run001,-1247124,23,6.91
run001,-1246354,24,7.21
run001,-1246382,24,7.21
run001,-1246746,24,7.21
run001,-1247040,24,7.21
run001,-1246340,25,7.50
run001,-1246550,26,7.80
run001,-1246578,26,7.80
run001,-1246634,26,7.80
run001,-1247026,27,8.11
run001,-1246984,28,8.41
run001,-1247082,28,8.41
run001,-1246648,29,8.71
run001,-1246830,29,8.71
run001,-1246942,30,9.01
run001,-1246676,31,9.31
run001,-1246998,31,9.31
run001,-1246690,33,9.90
run001,-1246956,38,11.41
run001,-1246606,43,12.90
run001,-1246844,44,13.20
run001,-1247494,2,0.61
run001,-1247270,7,2.12
run001,-1247284,8,2.40
run001,-1247844,9,2.70
run001,-1247354,11,3.31
run001,-1247592,12,3.60
run001,-1247662,13,3.91
run001,-1247690,13,3.91
run001,-1247928,14,4.21
run001,-1247970,14,4.21
run001,-1247914,15,4.50
run001,-1247956,16,4.80
run001,-1247466,17,5.11
run001,-1247774,17,5.11
run001,-1247312,18,5.40
run001,-1247242,19,5.70
run001,-1247718,19,5.70
run001,-1247732,19,5.70
run001,-1247228,20,6.00
run001,-1247368,20,6.00
run001,-1247522,20,6.00
run001,-1247620,20,6.00
run001,-1247788,20,6.00
run001,-1247984,20,6.00
run001,-1247214,21,6.30
run001,-1247382,21,6.30
run001,-1247578,21,6.30
run001,-1247900,21,6.30
run001,-1247424,22,6.60
run001,-1247830,22,6.60
run001,-1247942,22,6.60
run001,-1247676,23,6.90
run001,-1247704,23,6.90
run001,-1247200,25,7.50
run001,-1247802,25,7.50
